"ID","psu","palika","ward","hhld","version","verified","interviewer_id","v662","v663","v664","v666","v667","v668","v668a","v668b","v668c","v668d","v668e","v668f","v668g","v669","v669a","v669b","v669c","v669d","v669e","v669f","v669g","v669h","v669i","v669j","v670","v670a","v670b","v670c","v670d","v670e","v670f","v670g","v670h","v670i","v670j"
3064,5102,50601,"7","4","v3","Y",52,"105000","24000, 5000","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","3 ",NA,"2 ","2 ","2 ","1 ","3 ",NA,"2 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","3 "
3067,5102,50601,"7","4","v3","Y",53,"80000, 80280","17559, 20000","2 ","2 ","2 ",NA,"2 ","3 ","3 ","3 ","2 ","2 ","3 ",NA,"2 ","2 ","2 ","3 ","3 ","2 ","3 ","2 ","2 ","3 ",NA,"3 ","2 ","2 ","3 ","2 , 3 ","3 ","2 ","2 ","3 ","3 "
3069,5102,50601,"7","5","v3","Y",53,"4000, 5000","1000, 3600","2 ","2 ","2 ",NA,"2 ","2 ","2 ","3 ","2 ","1 ","3 ",NA,"1 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","2 ",NA,"2 ","1 ","1 ","2 ","2 ","2 ","2 ","2 ","2 ","3 "
3105,4317,40806,"17","10","v4","Y",56,"350000","2000","2 ","2 ","1 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"3 ","2 , 3 ","3 ","2 , 3 ","2 , 3 ","2 , 3 ","2 ","2 , 3 ","2 , 3 ","3 "
3180,5102,50601,"7","6","v4","Y",51,"106300, 112400","21528, 75000","1 ","2 ","2 ",NA,"2 ","2 ","2 ","3 ","3 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 , 3 ","2 ","3 ","3 ",NA,"2 ","2 ","2 ","3 ","2 , 3 ","2 ","2 ","2 ","2 ","2 "
3198,5102,50601,"7","2","v4","Y",51,"300000","4030","2 ","2 ","2 ",NA,"2 ","2 ","2 ","3 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","3 ","2 ","2 ","3 ","2 ","2 ","2 ",NA,"3 ","3 ","3 ","3 ","3 ","3 ","2 ","2 , 3 ","2 ","2 "
3211,2107,20613,"5","1","v4","Y",25,"50000, 60000","60000","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","3 ","2 ","2 ","2 ","2 ","2 ",NA,"3 ","3 ","3 ","3 ","3 ","2 ","2 ","2 ","2 ","3 "
3290,7310,70813,"4","1","v5","Y",74,"50000, 60000","0, 5000","2 ","2 ","2 ",NA,"3 ","3 ","3 ","3 ","3 ","2 ","2 ",NA,"2 ","2 ","3 ","3 ","2 ","3 ","3 ","2 ","2 ","3 ",NA,"3 ","3 ","3 ",NA,"3 ","3 ","2 ","2 ","2 ","3 "
3306,5202,50601,"7","1","v5","Y",52,"20000, 80000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3334,3111,31101,"7","1","v5","Y",28,"1200, 12000","0","2 ","2 ","2 ",NA,"1 ","1 ","1 ","1 ",NA,"1 ","1 ",NA,"2 ","3 ","2 ","2 ","1 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 "
3336,3211,31101,"7","4","v5","Y",28,"0, 15000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3397,1209,11214,"18","2","v5","Y",21,"40000, 45000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3425,3111,31101,"7","8","v5","Y",28,"125000, 140000","5000","2 ","2 ","2 ",NA,"2 ","2 ","2 ","3 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 , 3 ",NA,NA,NA,NA,"3 ","2 ","2 ","2 ","2 ","2 ","2 "
3484,2107,20613,"5","10","v5","Y",28,"32000","0","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","2 , 3 ","3 ","2 , 3 ","2 ","3 ","3 ","3 ","2 ","3 ",NA,"3 ","3 ","3 ","3 ","3 ","2 ","2 ","2 ","2 ","3 "
3494,2207,20613,"5","2","v5","Y",28,"4400, 90000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3556,1317,11307,"8","1","v5","Y",12,"5000","4000, 5000","2 ","2 ","2 ",NA,NA,"3 ","2 , 3 ","2 ","1 ","2 ","3 ",NA,"2 ","2 ","2 ","3 ","2 ","2 ","3 ","2 ","2 ","3 ",NA,"2 ","2 ","2 ","3 ","2 ","2 ","2 ","3 ","2 ",NA
3581,3365,30703,"3","4","v5","Y",51,"250000","0, 70000","2 ","2 ","2 ",NA,"2 , 3 ","2 , 3 ","2 ","3 ","3 ","3 ","2 , 3 ",NA,"2 ","2 ","2 , 3 ","2 ","2 ","2 ","2 ","2 ","2 ","2 , 3 ",NA,"1 , 3 ","2 ","3 ","3 ","2 ","2 ","2 ","2 ","2 ","3 "
3621,3465,30703,"2","1","v5","Y",54,"5000, 6000","0","2 ","2 ","2 ",NA,"2 ","2 ","2 ",NA,"2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","3 ","2 ","2 ","2 ",NA,"2 ","2 ","3 ","2 ","2 ","3 ","2 ","2 ","2 ","2 "
3656,3465,30703,"32","1","v5","Y",54,"200000","200000, 35000","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","3 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","3 ","3 "
3750,2107,20613,"4","12","v5","Y",27,"375, 7000","2400","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 , 3 ","2 ","2 , 3 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","3 ","2 ","2 , 3 ","2 ",NA,"2 ","2 ","2 ","2 , 3 ","2 ","2 , 3 ","2 ","2 , 3 ","2 ","2 "
3806,6201,60303,"2","2","v5","Y",61,"7950, 8950","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3923,7410,70813,"4","2","v5","Y",72,"0, 30000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3966,7207,70813,"4","10","v5","Y",71,"40000, 60000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4092,1317,11307,"8","2","v5","Y",12,"18500","15000, 3500","2 ","2 ","2 ",NA,NA,"2 ","3 ","3 ","3 ","1 ","2 ",NA,"1 ","1 , 3 ","3 ","3 ","2 ","2 ","3 ","2 ","2 ",NA,NA,"2 ","3 ","3 ","3 ","2 ","2 ","2 ","2 ","2 ",NA
4234,1111,11306,"5","4","v5","N",14,"232000, 600000","30000, 480000","1 ","2 ","2 ",NA,"2 ","2 ","3 ","3 ","2 ","3 ","3 ",NA,"2 ","2 ","2 ",NA,"2 ","2 ","3 ","2 ","2 ","3 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","3 ","2 ","2 "
4422,6102,60404,"2","1","v5","N",61,"1000","10000, 1000052","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"1 ","1 ","1 ","1 ","1 ","1 ","2 ","1 ","2 ","2 ",NA,"2 ","1 ","2 ","2 ","1 ","1 ",NA,"1 ","2 ","1 "
4461,6102,60404,"2","2","v5","N",62,"16000, 46000","0","2 ","1 ","2 ",NA,"2 ","3 ","2 ","3 ","2 ","3 ","3 ",NA,"2 ","2 ","2 ","2 ","1 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","3 ","2 ","2 "
4523,6102,60404,"2","1","v5","N",64,"25000, 30000","10000","2 ","2 ","2 ",NA,"2 ","2 ","2 ","3 ","2 ","1 ","2 ",NA,"1 ","2 ","3 ",NA,"1 ","1 ",NA,"1 ","2 ","2 ",NA,"1 ","1 ","2 ","2 ","3 ","1 ","1 ","2 ","2 ","1 "
4692,3101,30102,"8","19","v5","N",51,"200000","0","1 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"3 ","2 , 3 ","3 ","2 ","2 ","3 ","2 ","2 ","2 ","2 ",NA,"3 ","3 ","3 ","3 ","3 ","3 ","2 , 3 ","3 ","3 ","3 "
4705,4103,40602,"4","6","v5","N",42,"16380, 24500, 9240","0","2 ","2 ","2 ",NA,"3 ","2 ","2 ","3 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5051,2207,20613,"4","2","v5","N",25,"100000, 60000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5650,4204,40605,"6","1","v5","N",42,"0, 15000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6419,4204,40605,"6","3","v5","N",41,"20000, 7000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6483,4204,40605,"6","3","v5","N",43,"50000, 60000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7507,4103,40602,"4","4","v5","N",42,"7200","0","2 ","2 ","2 ",NA,"3 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"3 ","2 , 3 ","3 ","3 ","2 ","2 ","3 ","2 ","2 ","3 ",NA,"3 ","3 ","3 ","3 ","3 ","3 ","2 ","2 ","2 ","2 "
7828,2107,20613,"5","9","v5","N",28,"25000","10, 10000","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"3 ","3 ","3 ","3 ","3 ","3 ","3 ","2 ","2 ","2 ",NA,"2 ","3 ","3 ","3 ","3 ",NA,"2 ","2 ","2 ","2 "
8724,3101,30102,"8","7","v5","N",54,"2000, 300","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
