"ID","psu","palika","ward","hhld","version","verified","interviewer_id","v901","v902","v902a","v903","v904","v904a","v904b","v904c","v904d","v905","v906","v907a","v907b"
877,4204,40605,"6","3","v2","Y",44,"1 ",NA,"2","1 ",NA,"1 ","2",NA,NA,"LAMJUNG","150000",NA," , 0"
877,4204,40605,"6","3","v2","Y",44,"1 ",NA,"3","1 ",NA,"1 ","2",NA,NA,"LAMJUNG","100000",NA," , 0"
877,4204,40605,"6","3","v2","Y",44,"1 ",NA,"4","1 ",NA,"1 ","1",NA,NA,"LAMJUNG","50000",NA," , 0"
878,4104,40605,"6","4","v2","Y",44,"1 ",NA,"1","5 ",NA,"1 ","10",NA,NA,NA,NA,NA," , 0"
879,5201,50403,"3","2","v2","Y",53,"1 ",NA,"3","1 ",NA,"1 ","10","0","0","GULMI","10000000",NA," , 1 , 5000"
889,5101,50403,"3","2","v2","Y",51,"1 ",NA,NA,"1 ",NA,"1 ","1","0","0","GULMI","100000",NA," , 00, 1 "
889,5101,50403,"3","2","v2","Y",51,"1 ",NA,"1","1 ",NA,"1 ","1","0","0","GULMI","100000",NA," , 00, 1 "
890,5101,50403,"3","3","v2","Y",53,"1 ",NA,"1","7 ",NA,"2 ","0","0","10","GULMI","2500000",NA," , 1 , 6000"
911,3107,30608,"19","4","v2","Y",92,"1 ",NA,"629","1 ",NA,"1 ","0","15","2","GORKHA","60000",NA," , 1 , 5000"
911,3107,30608,"19","4","v2","Y",92,"1 ",NA,"941","8 ",NA,"1 ","1","6","0","GORKHA","100000",NA," , 1 , 10000"
911,3107,30608,"19","4","v2","Y",92,"1 ",NA,"944","8 ",NA,"1 ","0","7","1","GORKHA","40000",NA," , 1 , 5000"
911,3107,30608,"19","4","v2","Y",92,"1 ",NA,"947","8 ",NA,"1 ","3","4","0","GORKHA","200000",NA," , 1 , 35000"
993,5204,50703,"3","6","v2","Y",56,"1 ",NA,"1","1 ",NA,"2 ",NA,NA,NA,NA,"2000000",NA,"2 , RICE"
1001,5104,50703,"3","5","v2","Y",55,"1 ",NA,"1","2 ",NA,"2 ","0","5","10","NAWALPARASI","1500000",NA,"2 , DHAN BALI"
1021,3101,30102,"8","9","v2","Y",52,"1 ",NA,"1","2 ",NA,"1 ","5","0","0","DOLAKHA","65000",NA," , 2 , 7000"
1021,3101,30102,"8","9","v2","Y",52,"1 ",NA,"2","2 ",NA,"1 ","3","0","0","DOLAKHA","200000",NA,"1 , NISULKA GARI KHANA DIYAKO."
1037,3211,31101,"7","3","v2","Y",25,"1 ",NA,"2","6 ",NA,"2 ",NA,"6",NA,"SINDHULI","2400000",NA," , 15000, 2 "
1037,3211,31101,"7","3","v2","Y",25,"1 ",NA,"3","6 ",NA,NA,NA,"5",NA,"SINDHULI","2000000",NA,"2 , 20 MURI"
1090,3211,31101,"7","2","v2","Y",26,"1 ",NA,"1","7 ",NA,"2 ","0","0","5","SINDHULI","40000",NA," , 1 , 12000"
1095,3111,31101,"7","1","v2","Y",26,"1 ",NA,"1","3 ",NA,"2 ","0","12","0","SINDHULI","8400000",NA," , 2 , 40000"
1302,3111,31101,"7","4","v2","Y",26,"1 ",NA,"1","7 ",NA,"2 ","1","0","0","SINDHULI","2000000",NA," , 1 , 48000"
1311,3211,31101,"7","5","v2","Y",26,"1 ",NA,"2","6 ",NA,"2 ","0","10","0","SINDHULI","1000000",NA," , 18000, 2 "
1540,6101,60303,"5","1","v2","N",64,"1 ",NA,"1","1 ",NA,"1 ","3","0","0","HUMLA","1000000",NA," , 1 , 20000"
1540,6101,60303,"5","1","v2","N",64,"1 ",NA,"2","1 ",NA,"1 ","4","0","0","HUMLA","3200000",NA," , 1 , 6000"
1540,6101,60303,"5","1","v2","N",64,"1 ",NA,"3","1 ",NA,"1 ","1","0","0","HUMLA","100000",NA," , 1 , 8000"
1542,6101,60303,"5","5","v2","Y",64,"1 ",NA,"1","1 ",NA,"1 ","0","9","0","HUMLA","1200000",NA," , 1 , 3000"
1542,6101,60303,"5","5","v2","Y",64,"1 ",NA,"2","1 ",NA,"1 ","1","0","0","HUMLA","1600000",NA," , 1 , 4000"
1542,6101,60303,"5","5","v2","Y",64,"1 ",NA,"3","1 ",NA,"1 ","0","8","0","HUMLA","2706000",NA," , 1 , 6150"
1542,6101,60303,"5","5","v2","Y",64,"1 ",NA,"5",NA,NA,"1 ","2","0","0","HUMLA","4000000",NA," , 1 , 3000"
1544,6101,60303,"5","5","v2","Y",64,"1 ",NA,"1","1 ",NA,"1 ","6","8","0","HUMLA","8400000",NA," , 1 , 24000"
1602,3211,31101,"7","4","v2","Y",25,"1 ",NA,"2","7 ",NA,NA,NA,"3","10","SINDHULI","5300000",NA," , 1 , 7000"
1602,3211,31101,"7","4","v2","Y",25,"1 ",NA,"3","7 ",NA,NA,NA,"5",NA,"SINDHULI","3000000",NA,"2 , 5 MURI DHAN"
1628,3111,31101,"7","2","v2","Y",25,"1 ",NA,"1","2 ",NA,"2 ",NA,"6",NA,"SINDHULI","600000",NA,"12MURI DHAN, 2 "
1653,3211,31101,"7","2","v2","Y",27,"1 ",NA,"0","1 ",NA,NA,"1","6","5","SINDHULI","20000000",NA,"2 , 20 MURI DHAN"
1698,3111,31101,"7","1","v2","Y",27,"1 ",NA,"1","2 ",NA,"2 ","0","10","0","SINDHULI","7000000",NA," , 14000, 2 "
1803,5201,50403,"3","5","v2","Y",51,"1 ",NA,NA,"1 ",NA,"1 ","3","00","00","GULMI","900000",NA,"1 , OO"
1866,3111,31101,"7","6","v2","Y",26,"1 ",NA,"1","3 ",NA,"2 ","0","10","0","SINDHULI","5000000",NA," , 19200, 2 "
1935,5101,50403,"3","6","v2","Y",51,"1 ",NA,"00","1 ",NA,"1 ","7","00","00","GULMI","1200000",NA," , 00, 1 "
1937,5101,50403,"3","3","v2","Y",51,"1 ",NA,"00","1 ",NA,"1 ","2","00","00","GULMI","500000",NA,"1 , OO"
1965,3107,30608,"19","1","v2","Y",93,"1 ",NA,"2","7 ",NA,"2 ","0","3","0",NA,"20000000",NA,"2 , 30000"
1998,3211,31101,"7","1","v2","Y",25,"1 ",NA,"1","6 ",NA,"2 ",NA,"12",NA,"SINDHULI","300000000",NA,"18DHAN 1.5 MURI DAL, 2 "
1998,3211,31101,"7","1","v2","Y",25,"1 ",NA,"2","6 ",NA,"2 ",NA,"10",NA,"SINDHULI","6000000",NA,"15 DHAN 3MURI DAL, 2 "
2003,3111,31101,"7","1","v2","Y",26,"1 ",NA,"2","6 ",NA,"2 ","0","8","10","SINDHULI","1000000",NA," , 1 , 10000"
2027,5201,50403,"3","7","v2","Y",51,"1 ",NA,"00","1 ",NA,"1 ","2","00","00","GULMI","1300000",NA," , 00, 1 "
2059,5101,50403,"3","4","v2","Y",51,"1 ",NA,"00","1 ",NA,"1 ","4","00","00","GULMI","1600000",NA," , 00, 1 "
2131,3207,30608,"19","3","v2","Y",94,"1 ",NA,"1","3 ",NA,"1 ","5","0","0","KAVREPALANCHOWK","200000",NA," , 1 , 50000"
2166,5204,50703,"3","4","v2","Y",56,"1 ",NA,"1","6 ",NA,NA,NA,"18",NA,"NAWALPARASI","360000",NA,"2 , DHAN,GAHU"
2201,5101,50403,"3","1","v2","N",51,"2 ",NA,"0","8 ",NA,"1 ","2","0","0","GULMI","150000",NA," , 1 , 20000"
2204,5201,50403,"3","8","v2","Y",51,"1 ",NA,NA,"1 ",NA,"1 ","2","00","00","GULMI",NA,NA," , 1 , 8000"
2234,5201,50403,"3","2","v2","Y",52,NA,NA,"3","3 ",NA,NA,NA,"72","16","GULMI","2600000",NA," , 1 , 18000"
2234,5201,50403,"3","2","v2","Y",52,"1 ",NA,"4","3 ",NA,NA,NA,"10","0","CHITAWAN","27000000",NA," , 1 , 240000"
2252,1109,11214,"18","1","v2","Y",23,"1 ",NA,"1",NA,NA,"2 ","0","5","0","MORANG","100000",NA," , 0"
2313,5201,50403,"3","3","v2","Y",52,"1 ",NA,"2","7 ",NA,"1 ","1","0","0","GULMI","0",NA," , 1 , 4500"
2393,3101,30102,"8","15","v2","Y",52,"1 ",NA,"3","6 ",NA,"1 ","3","0","0","DOLAKHA","450000",NA," , 2 , 2400"
2393,3101,30102,"8","15","v2","Y",52,"1 ",NA,"4","6 ",NA,"1 ","3","0","0","DOLAKHA","300000",NA,"1400, 2 , 96 "
2393,3101,30102,"8","15","v2","Y",52,"1 ",NA,"5","4 ",NA,"1 ","2","8","0","DOLAKHA","400000",NA," , 1 , 4000"
2409,3101,30102,"8","11","v2","Y",52,"1 ",NA,"5","6 ",NA,"1 ","3","0","0","DOLAKHA","200000",NA,"11 , 1600, 2 "
2411,3101,30102,"8","12","v2","Y",52,"1 ",NA,"2","6 ",NA,"1 ","0","10","0","DOLAKHA","200000",NA,"1200, 2 , 3 "
2415,3101,30102,"8","3","v2","Y",53,"1 ",NA,"1","1 ",NA,"1 ","12","0","0","RASUWA","1700000",NA," , 0"
2415,3101,30102,"8","3","v2","Y",53,"1 ",NA,"2","1 ",NA,"1 ","2","0","0","DOLAKHA","200000",NA," , 0"
2419,3201,30102,"8","3","v2","Y",53,"1 ",NA,"1","1 ",NA,"1 ","4","0","0","DOLAKHA","300000",NA,"2 , MAKAI, KODO, GAHU"
2419,3201,30102,"8","3","v2","Y",53,"1 ",NA,"2","1 ",NA,"1 ","3","0","0","DOLAKHA","200000",NA,"2 , MAKAI, KODO, GAHU"
2419,3201,30102,"8","3","v2","Y",53,"1 ",NA,"3","1 ",NA,"1 ","5","0","0","DOLAKHA","700000",NA,"2 , SAAG, MULA, TAMATAR, DHANIYA, SIMI, LASUN, PYAJ, CHYAPI, AALU, KHURSANI, LASUN, BESAR, PIDAALU, KAAKRA, BARELA"
2437,3201,30102,"8","20","v2","Y",53,"1 ",NA,"2","3 ",NA,"1 ","3","0","0","DOLAKHA","600000",NA," , 0"
2437,3201,30102,"8","20","v2","Y",53,NA,NA,"3","3 ",NA,"1 ","2","0","0","DOLAKHA","400000",NA," , 0"
2437,3201,30102,"8","20","v2","Y",53,"1 ",NA,"4","3 ",NA,"1 ","2","0","0","DOLAKHA","100000",NA,"2 , AALU , GAHU"
2437,3201,30102,"8","20","v2","Y",53,"1 ",NA,"5","3 ",NA,"1 ","5","0","0","DOLAKHA","300000",NA,"2 , AALU, GAHU"
2449,3101,30102,"8","2","v2","Y",52,"1 ",NA,"1","1 ",NA,"1 ","6","0","0","DOLAKHA","140000",NA," , 0, 1 "
2449,3101,30102,"8","2","v2","Y",52,"1 ",NA,"2","1 ",NA,"1 ","5","2","0","DOLAKHA","1500000",NA," , 0, 1 "
2449,3101,30102,"8","2","v2","Y",52,"1 ",NA,"3","1 ",NA,"1 ","3","0","0","DOLAKHA","550000",NA," , 0"
2449,3101,30102,"8","2","v2","Y",52,"1 ",NA,"4","1 ",NA,"1 ","1","0","0","DOLAKHA","150000",NA,"1 , NO"
2449,3101,30102,"8","2","v2","Y",52,"1 ",NA,"5","5 ",NA,"1 ","5","0","0","DOLAKHA","130000",NA," , 0"
2451,3201,30102,"8","18","v2","Y",52,"1 ",NA,"1","2 ",NA,"1 ","3","0","0","DOLAKHA","400000",NA," , 0, 1 "
2455,3201,30102,"8","17","v2","Y",52,"1 ",NA,"6","6 ",NA,"1 ","6","10","0","DOLAKHA","1350000",NA," , 2 , 4000"
2459,3101,30102,"8","10","v2","N",52,"1 ",NA,"5","8 ",NA,"1 ","1","4","0","DOLAKHA","85000",NA,"1400, 2 , 96 "
2476,3201,30102,"8","14","v2","Y",53,"1 ",NA,"1","7 ",NA,"1 ","5","0","0","DOLAKHA","400000",NA," , 2 , 2400"
2476,3201,30102,"8","14","v2","Y",53,"1 ",NA,"2","7 ",NA,"1 ","8","0","0","DOLAKHA","2300000",NA," , 1 , 5000"
2501,2310,20612,"3","4","v2","Y",27,"1 ",NA,"1","2 ",NA,"2 ","5","0","0","BARA","18000000",NA," , 1 , 60000"
2505,3211,31101,"7","2","v2","Y",27,"1 ",NA,"1","1 ",NA,"2 ","0","8","0",NA,"2500000",NA,"2 , AAFAI KHETI GAREKO"
2511,2310,20612,"3","3","v2","Y",26,"1 ",NA,"3","2 ",NA,"2 ","1","5",NA,"RAUTAHAT","12500000",NA,"2 , DHAN GAHU 45 QUENTAL"
2512,3211,31101,"7","2","v2","Y",26,"1 ",NA,"1","6 ",NA,"2 ","0","15","0","SINDHULI","6000000",NA," , 2 , 50"
2512,3211,31101,"7","2","v2","Y",26,"1 ",NA,"2","6 ",NA,"2 ","0","5","0","SINDHULI","2000000",NA," , 2 , 50"
2513,3211,31101,"7","1","v2","Y",26,"1 ",NA,"1","6 ",NA,"2 ","0","8","0","SINDHULI","1800000",NA," , 2 , 50"
2513,3211,31101,"7","1","v2","Y",26,"1 ",NA,"2","6 ",NA,"2 ","0","8","0","SINDHULI","3200000",NA," , 2 , 50"
2513,3211,31101,"7","1","v2","Y",26,"1 ",NA,"3","6 ",NA,"2 ","0","6","0","SINDHULI","2400000",NA," , 2 , 50"
2513,3211,31101,"7","1","v2","Y",26,NA,NA,"4","6 ",NA,"2 ","0","3","0","SINDHULI","10000000",NA," , 2 , 50"
2543,7106,70811,"7","4","v2","Y",73,"1 ",NA,"3","6 ",NA,"2 ","3","0","0","KAILALI","9000000",NA,"2 , 4500 KG"
2556,3107,30608,"19","7","v2","Y",92,"1 ",NA,"1","3 ",NA,"2 ","1","6","12","KAPILVASTU","57200000",NA," , 1 , 80000"
2614,7106,70811,"7","3","v2","Y",72,"1 ",NA,"0","8 ",NA,"2 ","0","5","0","KAILALI","1500000",NA,"1 , 150000"
2616,7106,70811,"7","4","v2","Y",72,"1 ",NA,"1","8 ",NA,"2 ","0","5","0",NA,"150000",NA,"1 , 25000"
2628,7206,70811,"7","10","v2","Y",72,"1 ",NA,"2","6 ",NA,"2 ","0","1","0","KAILALI","400000",NA,"2 , OVERALL 1.5 QUINTAL VEGETABLE"
2630,7106,70811,"7","7","v2","Y",72,"1 ",NA,"00","8 ",NA,"2 ","0","7","0","KAILALI","80000",NA,"2 , 22000 DAM KO ANNA BALI"
2635,1209,11214,"18","3","v2","Y",24,"1 ",NA,"2","7 ",NA,"2 ","1","0","0","MORANG","4000000",NA,"2 , 25 MAN"
2635,1209,11214,"18","3","v2","Y",24,"1 ",NA,"3","8 ",NA,"2 ","0","10","0","MORANG","2000000",NA,"1 , 1000"
2636,1209,11214,"18","4","v2","Y",24,"1 ",NA,"2","8 ",NA,"2 ","0","10","0","MORANG","2000000",NA," , 2 , 75000"
2636,1209,11214,"18","4","v2","Y",24,NA,NA,"3","8 ",NA,"2 ","0","10","0","MORANG","2000000",NA," , 2 , 65000"
2637,1109,11214,"18","5","v2","Y",24,"1 ",NA,"1","2 ",NA,"2 ","0","3","0","MORANG","900000",NA,"2 , 4 MAN DHAN DINE GARXAN"
2650,3206,30604,"11","11","v3","Y",93,"1 ",NA,"1","7 ",NA,"1 ","1","4","0","KATHMANDU","50000000",NA," , 1 , 175000"
2652,3206,30604,"11","12","v3","Y",94,"1 ",NA,"1","3 ",NA,"1 ","2","0","0","KATHMANDU","5000000",NA," , 1 , 190000"
2791,1108,11211,"9","7","v3","Y",22,"1 ",NA,"1","6 ",NA,"2 ","0","14","0","MORANG","3500000",NA," , 2 , 45000"
2792,1208,11211,"9","8","v3","Y",22,"1 ",NA,"2","2 ",NA,"2 ","4","0","0","MORANG","8000000",NA," , 100000, 2 "
2793,1108,11211,"9","9","v3","Y",22,"1 ",NA,"2","7 ",NA,"2 ","2","0","0","MORANG","12000000",NA," , 2 , 80000"
2793,1108,11211,"9","9","v3","Y",22,"1 ",NA,"3","7 ",NA,"2 ","1","10","0","MORANG","3000000",NA," , 2 , 50000"
2809,5104,50703,"3","1","v3","Y",55,"1 ",NA,"1","2 ",NA,"2 ","1","0","0","NAWALPARASI","300000",NA," , 2 , 50000"
2825,6101,60303,"2","6","v3","Y",61,"1 ",NA,"1","2 ",NA,"1 ","0","1","8","HUMLA","60000",NA," , 2 , 5400"
2825,6101,60303,"2","6","v3","Y",61,"1 ",NA,"2","2 ",NA,"1 ","1","0","0","HUMLA","45000",NA," , 2 , 3000"
2825,6101,60303,"2","6","v3","Y",61,"1 ",NA,"3","2 ",NA,"1 ","0","15","0","HUMLA","45000",NA," , 2 , 3000"
2825,6101,60303,"2","6","v3","Y",61,"1 ",NA,"4","2 ",NA,"1 ","0","10","0","HUMLA","30000",NA,"2 , 2000, 96 "
2861,1211,11306,"5","6","v3","Y",12,"1 ",NA,"1","3 ",NA,"2 ",NA,"10",NA,"MORANG","3000000",NA,"15 MAN, 2 "
2867,3106,30604,"11","9","v3","Y",92,"1 ",NA,"1","3 ",NA,"2 ","0","5","0","MAKAWANPUR","5000000",NA," , 1 , 4000"
2877,2107,20613,"5","7","v3","Y",27,"1 ",NA,"1",NA,NA,"2 ","3","3","0","RAUTAHAT","20000000",NA,"DHAN,GAHU,DAAL"
2895,1208,11211,"9","10","v3","Y",23,"1 ",NA,"1","3 ",NA,"2 ","1","10","0","MORANG","24000000",NA," , 1 , 45000"
2895,1208,11211,"9","10","v3","Y",23,"1 ",NA,"2","3 ",NA,"2 ","1","0","0","MORANG","16000000",NA," , 1 , 20000"
2899,1208,11211,"9","10","v3","Y",22,"1 ",NA,"1","7 ",NA,"2 ","2","0","0","MORANG","20000000",NA," , 2 , 35000"
2911,4104,40605,"6","2","v3","Y",44,"1 ",NA,"3","8 ",NA,"1 ","12","6",NA,"LAMJUNG","1200000",NA," , 1 , 60000"
2915,4104,40605,"6","3","v3","Y",44,"1 ",NA,"7",NA,NA,"1 ",NA,"8",NA,"LAMJUNG","50000",NA," , 0"
2947,4317,40806,"17","8","v3","Y",56,"1 ",NA,"1","1 ",NA,NA,NA,"10","10","NAWALPUR","600000",NA," , 1 , 45000"
2949,4317,40806,"17","4","v3","Y",55,"1 ",NA,"1","2 ",NA,"2 ","1","7","0","RAUTAHAT","3500000",NA," , 1 , 80000"
2955,4317,40806,"17","6","v3","Y",58,NA,NA,"2","6 ",NA,"2 ","0","17","0","NAWALPUR","3400000",NA," , 2 , 20000"
2983,1317,11307,"8","19","v3","Y",13,"1 ",NA,"1","3 ",NA,"2 ","0","15","0","SUNSARI","1800000",NA," , 2 , 36000"
3021,1109,11214,"18","3","v3","Y",22,"1 ",NA,"1","6 ",NA,"2 ","0","5","0","MORANG","500000",NA," , 2 , 7000"
3046,5102,50601,"7","8","v3","Y",51,"1 ",NA,"3","7 ",NA,"1 ","3","00","00","PALPA",NA,NA," , 1 , RS.15000 PAID FOR LAND LEASE"
3064,5102,50601,"7","4","v3","Y",52,"1 ",NA,"1","2 ",NA,"1 ","3","0","0","PALPA","1800000",NA," , 2 , 7 MURI DHAN, 6 KG DAAL, 16 PATHI MAKAI"
3072,5102,50601,"7","8","v3","Y",52,"1 ",NA,"3","4 ",NA,"1 ","0","25","0","PALPA","6500000",NA," , 1 , 32000"
3073,5202,50601,"7","7","v3","Y",53,"1 ",NA,"2","6 ",NA,"1 ","2","0","0","PALPA","2500000",NA," , 2 , DHAN 13 MURI PAYAKO"
3074,5102,50601,"7","9","v3","Y",53,NA,NA,"2","8 ",NA,"1 ","6","0","0","PALPA","2400000",NA," , 1 , 70000"
3089,1108,11211,"9","11","v4","Y",23,"1 ",NA,"1","3 ",NA,"2 ","1","0","0","MORANG","3500000",NA," , 1 , 30000"
3123,6201,60303,"2","7","v4","Y",62,"1 ",NA,"3","7 ",NA,"1 ","1",NA,NA,"HUMLA","600000",NA," , 1 , 25000"
3131,5202,50601,"7","10","v4","Y",51,"1 ",NA,"1","2 ",NA,"1 ","3","00","00","PALPA","00",NA," , 2 , 7  MURI DHAN PAYAKO"
3131,5202,50601,"7","10","v4","Y",51,"1 ",NA,"2","8 ",NA,"1 ","3","00","00","PALPA","00",NA," , 1 , 22000 TIRAYKO"
3132,5104,50703,"3","3","v4","Y",55,"1 ",NA,"1","1 ",NA,"2 ","0","9","0","NAWALPARASI","360000",NA," , 0000"
3132,5104,50703,"3","3","v4","Y",55,"1 ",NA,"2","1 ",NA,"2 ","0","9","10","NAWALPARASI","400000",NA," , SKIP HUNU PARNE"
3133,5202,50601,"7","9","v4","Y",51,"1 ",NA,"2","1 ",NA,"1 ","6","00","00","PALPA","4000000",NA," , 00, 1 "
3143,5104,50703,"3","5","v4","Y",57,"1 ",NA,"1","1 ",NA,"2 ","1","20","400","NAWALPARASI","500000",NA," , 150000, 2 "
3153,5104,50703,"3","8","v4","Y",57,"1 ",NA,"1",NA,NA,"2 ","1","0","0","NAWALPARASI","3000000",NA," , 0, 2 "
3161,6307,60202,"2","7","v4","Y",63,"1 ",NA,"2","2 ",NA,"1 ","1","5","0","HUMLA","600000",NA," , 2 , KHADHAN BALI 200KG"
3161,6307,60202,"2","7","v4","Y",63,"1 ",NA,"3","2 ",NA,"1 ","10","0","0","HUMLA","50000",NA," , 2 , KHADHYAN BALI 20 KG"
3161,6307,60202,"2","7","v4","Y",63,"1 ",NA,"4","2 ",NA,"1 ","0","12","0","HUMLA","50000",NA," , 2 , KHADHAYAN BALI 15 KG"
3161,6307,60202,"2","7","v4","Y",63,"1 ",NA,"6","2 ",NA,"1 ","0","14","0","HUMLA","90000",NA," , 2 , KHADHAYAN BALI 15 KG"
3174,2107,20613,"5","8","v4","Y",26,"1 ",NA,"4","6 ",NA,"2 ","0","5","0","RAUTAHAT","0",NA," , 2 , 3 QUENTAL DHAN ,1 QUENTAL GAHU"
3177,5202,50601,"7","11","v4","Y",51,"1 ",NA,"1","3 ",NA,"1 ","1","00","00","SYANGJA","150000",NA," , 1 , 3900 CASH RECEIVED"
