"","ID","psu","palika","ward","hhld","version","verified","interviewer_id","personid","v101","v649","v648","v649a","v649b","v649c","v649d","v649e","v649f","v649g","v649h","v649i","v649j","v649k","v649l","v649m","v649n","v650","v650a"
"16",3653,3341,30704,"4","1","v5","Y",54,15057,3,NA,NA,"11 ","21 ",NA,NA,NA,NA,NA,NA,"91 ",NA,NA,NA,NA,NA,"1",NA
"17",3653,3341,30704,"4","1","v5","Y",54,15057,3,NA,NA,"11 ","21 ",NA,NA,NA,NA,NA,NA,"91 ",NA,NA,NA,NA,NA,"1",NA
"18",3653,3341,30704,"4","1","v5","Y",54,15057,3,NA,NA,"11 ","21 ",NA,NA,NA,NA,NA,NA,"91 ",NA,NA,NA,NA,NA,"1",NA
"19",3653,3341,30704,"4","1","v5","Y",54,15057,3,NA,NA,"11 ","21 ",NA,NA,NA,NA,NA,NA,"91 ",NA,NA,NA,NA,NA,"1",NA
"20",3653,3341,30704,"4","1","v5","Y",54,15057,3,NA,NA,"11 ","21 ",NA,NA,NA,NA,NA,NA,"91 ",NA,NA,NA,NA,NA,"1",NA
"21",3687,2108,20614,"1","3","v5","Y",26,15258,1,NA,NA,NA,"21 , 23 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"22",3687,2108,20614,"1","3","v5","Y",26,15258,1,NA,NA,NA,"21 , 23 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"23",3687,2108,20614,"1","3","v5","Y",26,15260,3,NA,NA,NA,"21 , 23 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"24",3687,2108,20614,"1","3","v5","Y",26,15260,3,NA,NA,NA,"21 , 23 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"25",3688,7410,70813,"4","1","v5","Y",71,15266,2,NA,NA,NA,"21 , 22 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","YO BIRAMI VAKO JETHO CHORA AARYAN JOSHI HO."
"26",3688,7410,70813,"4","1","v5","Y",71,15266,2,NA,NA,NA,"21 , 22 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"27",3733,2208,20614,"1","4","v5","Y",26,15510,1,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"28",3733,2208,20614,"1","4","v5","Y",26,15510,1,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"29",3733,2208,20614,"1","4","v5","Y",26,15510,1,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"30",3733,2208,20614,"1","4","v5","Y",26,15510,1,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"31",3733,2208,20614,"1","4","v5","Y",26,15511,2,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"32",3733,2208,20614,"1","4","v5","Y",26,15511,2,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"33",3838,1317,11307,"8","1","v5","Y",14,16168,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"34",3838,1317,11307,"8","1","v5","Y",14,16168,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"35",4107,7410,70813,"4","3","v5","N",73,17563,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"36",4107,7410,70813,"4","3","v5","N",73,17563,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"37",4422,6102,60404,"2","1","v5","N",61,19181,5,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"38",4422,6102,60404,"2","1","v5","N",61,19181,5,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"39",4526,6102,60404,"2","2","v5","N",64,19679,1,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"40",4526,6102,60404,"2","2","v5","N",64,19679,1,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"41",4526,6102,60404,"2","2","v5","N",64,19680,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"42",4526,6102,60404,"2","2","v5","N",64,19680,2,NA,NA,NA,"21 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"43",4537,6102,60404,"2","3","v5","N",64,19731,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,4",NA
"44",4537,6102,60404,"2","3","v5","N",64,19731,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,4",NA
"45",5664,4203,40602,"4","4","v5","N",43,25664,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"46",5664,4203,40602,"4","4","v5","N",43,25664,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"47",5664,4203,40602,"4","4","v5","N",43,25664,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"48",5664,4203,40602,"4","4","v5","N",43,25665,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"49",5664,4203,40602,"4","4","v5","N",43,25665,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
